"rest_id","phrase","pro_con","aspect_type","score"
102,"The service was attentive","+","U",7
102,"The staff was helpful and very nice","+","U",1
102,"This restaurant is definetely a great experience","+","U",5
103,"Atmosphere is very casual cool ..usually crowded w/ high ceilings","+","U",6
103,"Cheese plate which was quite tasty","+","U",10
103,"Crepes were not very good","+","U",1
103,"Fruit was n't fresh","+","U",9
103,"Have chocolate cake","+","U",8
103,"Love this place","+","U",5
103,"The ambiance of this place is great: small tables with nooks to hide in and even a small roof patio","+","U",1
103,"The service was nice and punctual, good","+","U",1
103,"The tea leaves are free","+","U",1
103,"The three of us could n't clean the plate - and the hummus was certainly homemade, and most definitley the best i've ever tasted","+","U",1
103,"Wait staff seems kind","+","U",7
104,"Cubano sandwiches are pretty good","+","U",1
104,"Glazed salmon dinner, and salads are divine","+","U",9
104,"I loved the greek omelette while my husband really enjoyed the pancake breakfast ( the blueberry ones are delicious","+","U",10
104,"Men's bathroom is from like 1947","+","U",1
104,"Place is nearby","+","U",7
104,"Potato pancakes are my favorite - savory","+","U",1
104,"Salmon burger and he said it was really good","+","U",1
104,"The staff is friendly","+","U",5
104,"Toast was moist","+","U",8
104,"Tops are sticky","+","U",6
104,"Veggie sausage was meager","+","U",1
104,"Waitress greeted us","+","U",1
105,"Beer list is pretty strong","+","U",1
105,"Food is just pub food","+","U",1
105,"It and it was dry","+","U",9
105,"Nachos are yummy","+","U",10
105,"Stew and the cheese fondue are unique and hearty","+","U",1
105,"The outdoor seating is great in the warm weather","+","U",5
105,"The patio, was really friendly","+","U",6
105,"The service is complete crap not to mention the rude wait staff","+","U",1
105,"Their chocolate cake shot is delicious ; nice","+","U",8
105,"This place is just too gross and small to be","+","U",7
105,"This place serves awfully bad food","+","U",1
105,"Walls are stony, and the space is dark","+","U",1
106,"Cake is so delicious i am sure i could eat my own portion","+","U",10
106,"Chocolate items did n't taste as chocolatey as they did milky","+","U",1
106,"Friend ordered a pinneaple dessert","+","U",1
106,"Highly recommend the molten chocolate to all of","+","U",1
106,"I really enjoyed my molten chocolate dish, as well as the hazelnut hot chocolate","+","U",9
106,"I've tried the apple-cranberry crumble, cheesecake, and boston cream cake","+","U",1
106,"It was okay","+","U",8
106,"Place is not cozy or dark or intimate","+","U",7
106,"Server was very nice","+","U",1
106,"Server was very nice, and she was incredibly useful","+","U",6
106,"Staff is attentive and very","+","U",5
107,"Chicken was really moist","+","U",1
107,"Chile rellenos, enchiladas, and the above-mentioned tamales are all some of the most excellent i've ever had","+","U",1
107,"Chorizo is pretty good","+","U",9
107,"It was fresh","+","U",1
107,"Rice was bland","+","U",8
107,"Server was incredibly friendly","+","U",5
107,"Servers at clm are wicked friendly","+","U",1
107,"Smoky poblano salsa is excellent","+","U",10
107,"The atmosphere is pleasant- it's never too crowded","+","U",6
107,"The decor is great","+","U",1
107,"Their chips are really thick and salty","+","U",1
107,"Tlm is highly passable mexican influenced food at very good prices","+","U",7
108,"Beef tenderloin salad","+","U",10
108,"Decor is fun and "" high","+","U",1
108,"Fish special which was excellent","+","U",1
108,"Food was perfectly fine","+","U",8
108,"Friend ordered the stuffed artichoke salad","+","U",1
108,"Home fries were delicious and the way they served the benedict was so different and so perfect","+","U",1
108,"Horrendous service is unacceptable","+","U",1
108,"Outdoor seating is nicely shaded","+","U",7
108,"The tuna is always seared perfectly and blended so well with the wasabi and lemon vinaigrette","+","U",1
108,"This place is quintessential newbury","+","U",6
108,"Waitress was nice yesterday","+","U",5
108,"Warm chocolate cake","+","U",9
109,"Dishes that my friends ordered were very good","+","U",8
109,"Flavors were just amazing","+","U",1
109,"Fried calamari is also delish","+","U",1
109,"Giacomo sauce is amazing","+","U",1
109,"I absolutely recommend getting the lobster ravioli w/ cream sauce","+","U",10
109,"It's a small dining space, but cozy and cute, overall a very nice","+","U",6
109,"Our waitress was really nice and explained the specials and checked in on","+","U",7
109,"Service is fast and efficient ...hang","+","U",5
109,"Service was attentive but naturally","+","U",1
109,"The linguine with mussels and red sauce and he loved it","+","U",9
109,"This place is definitely not 4.5 stars","+","U",1
11,"Dry goods were not always available","+","U",1
11,"Food court is pretty","+","U",1
11,"Fresh fish and seafood","+","U",10
11,"Jasmine rice were my most prized daifuku cakes ? ! ! ! epic fail","+","U",1
11,"Kimchi was always out","+","U",1
11,"Onions were pretty disgusting","+","U",9
11,"Price is cheap but some items are not","+","U",7
11,"Service was unpleasant","+","U",1
11,"Thai place is very good","+","U",8
11,"The counter immediately told me","+","U",5
11,"This place is so cool","+","U",6
110,"Arancini stuffed with prosciutto was my absolute favorite and the house salad was delightful","+","U",10
110,"Arancini were tasty","+","U",1
110,"Arancini with prosciutto and mozarella was wonderful","+","U",1
110,"First experience here was very good","+","U",7
110,"Grilled chicken salad which are both excellent","+","U",8
110,"Macaroni and cheese was very disappointing","+","U",1
110,"Pistachio pesto gnocchi is so","+","U",1
110,"Pork tenderloins were cooked","+","U",1
110,"She was so nice and helpful","+","U",5
110,"The food was very good again, especially the pork tenderloin","+","U",9
110,"The place is warm and hip and cool","+","U",6
110,"The waitstaff was friendly throughout","+","U",1
111,"A beautiful creation that tasted as good","+","U",8
111,"Bread was very","+","U",1
111,"Dessert was good","+","U",9
111,"Entree was overcooked","+","U",1
111,"Food was pretty damn good","+","U",1
111,"Highly recommend it as fun place","+","U",1
111,"Hostess was nice","+","U",7
111,"Lamb brik appetizer is highly recommened","+","U",10
111,"My appetizer, pork &amp; shrimp wonton, was identical","+","U",1
111,"Our waiter and the wait staff were excellent as usual, very efficient, friendly, and knowledgeable","+","U",6
111,"The decor is a little too hotel","+","U",5
112,"Atmosphere was a little too loud","+","U",7
112,"Bartender was quick and helpful","+","U",1
112,"Burgers were tasty","+","U",1
112,"Crowd was pretty hot","+","U",5
112,"Food was decent","+","U",1
112,"I recommend the tuna burgers - juicy and delicious","+","U",10
112,"Mussel broth was delicious","+","U",8
112,"Sliders were whomp","+","U",1
112,"Teensy weensy burgers were pretty good","+","U",9
112,"The lighting is dim, the ambiance is calming, the music sets","+","U",1
112,"Waitress promptly came over to ask if we were ready","+","U",6
112,"Were all delicious, the fish and various meets were very well made and tasted great","+","U",1
113,"Falafel was much better than the lamb - tasty and moist","+","U",9
113,"Heat searing off my taste buds and pins-and-needlesing my lips","+","U",1
113,"Ingredients taste very fresh","+","U",10
113,"It was yummy","+","U",1
113,"Shawarma was delicious","+","U",8
113,"The service is friendly, and fast","+","U",1
113,"This place is just plain good and convenient","+","U",5
113,"This place is very unassuming","+","U",6
113,"Wait longer than 5-10","+","U",7
114,"Chicken was dry","+","U",8
114,"Chips and salsa are tasty","+","U",1
114,"Guacamole is wonderful","+","U",1
114,"Hostess was warm, friendly","+","U",1
114,"House margarita was strong","+","U",1
114,"Seafood was fresh","+","U",9
114,"Service was excellent, fast, efficient and happy","+","U",5
114,"Small plates are interesting","+","U",1
114,"They were amazing","+","U",10
114,"This place has good food","+","U",7
114,"Tomatillo-avacado sauce is perfect with tuna and the warm corn tortillas make every bite amazing","+","U",1
114,"Walls, the fireplace, the mood lighting and the music all made it a great, festive atmosphere","+","U",6
115,"Basement restaurant is dark with no","+","U",1
115,"Ceviche, ice cream, huevos rancheros","+","U",1
115,"Chips and salsa were fantastic","+","U",10
115,"Chips were good, warm and fresh","+","U",1
115,"Good mexican is hard to find","+","U",7
115,"Guacamole was freakin fantastic","+","U",9
115,"Hostess who first","+","U",1
115,"Indoor seating has warm and sexy ambiance","+","U",5
115,"Mole is warm","+","U",1
115,"Orange-pepper-cinnamon sauce that was splendidly sweet","+","U",8
115,"Place to go in the boston area for thoughtful authentic mexican cuisine","+","U",1
115,"Wait staff could stand to be a little more friendly","+","U",6
116,"Ambience music is so hip it'll start a lifelong wallflower grooving","+","U",5
116,"Appetizers were like frozen food, nothing authentic about","+","U",1
116,"Food was bland","+","U",1
116,"Hip "" decor is looking pretty dingy","+","U",1
116,"Service was so horrendously","+","U",6
116,"Sleek cool atmosphere with good lounge tunes","+","U",7
116,"Tartar was much better","+","U",8
116,"The lobster was dry and overcooked","+","U",9
116,"The service in general was mediocre to bad","+","U",1
116,"This place is awful","+","U",1
116,"Truffle mac and cheese is amazing","+","U",10
117,"Food is decent","+","U",1
117,"I ordered the guy scramble, which consisted of eggs","+","U",9
117,"Our waitress was perky and fast","+","U",7
117,"Pancake is huge","+","U",1
117,"Pancakes were huge and very tasty","+","U",10
117,"Scramble was so flavorful","+","U",8
117,"She was attentive without","+","U",1
117,"The service was great - very friendly and prompt","+","U",6
117,"This place is a kitschy, quirky hipsters","+","U",5
117,"This place is busy","+","U",1
117,"Three of us enjoyed our potatoes","+","U",1
117,"Walls are decorated with quirky signs","+","U",1
118,"Atmosphere is ok-not fancy","+","U",1
118,"Gyoza and shumai are also pretty tasty appetizers","+","U",9
118,"Miso soup was awesome","+","U",1
118,"Non-sushi food items were more","+","U",8
118,"Our service was excellent, did n't have to wait","+","U",1
118,"Service is always really excellent","+","U",7
118,"Sushi rolls are pretty simple","+","U",1
118,"Teriyaki beef was also delicious","+","U",10
118,"The atmosphere is a little in between casual and semi-formal","+","U",5
118,"The service seemed a little slow, and the timing was really weird","+","U",6
119,"Bubble tea is really good","+","U",8
119,"Food came pretty","+","U",1
119,"Papaya salad is also spicy","+","U",1
119,"Salad was so","+","U",10
119,"Service is brisk, quick, and efficient","+","U",6
119,"Soups can be on the bland side, and overall it's not super vegetarian","+","U",9
119,"The interior is well lit and decorated and clean","+","U",5
119,"The service was always attentive","+","U",7
119,"Their drinks and appetizers are okay","+","U",1
119,"This place is okay","+","U",1
119,"Waitress was alarmingly slow","+","U",1
12,"Bread was really good and different","+","U",10
12,"Chicken is always my favorite","+","U",1
12,"Ethiopian food is full of wonderful flavors","+","U",1
12,"Food experience was pleasant","+","U",7
12,"Food was amazing","+","U",1
12,"Low lighting provides great ambience","+","U",5
12,"Seating in this place is pretty awk, u sit on these low stools","+","U",1
12,"The food was fantastic - flavorful and not overpowering","+","U",9
12,"The service is friendly but a little slow and inattentive at moments","+","U",6
12,"They're all tasty and healthful","+","U",8
120,"Egg rolls were wrapped in a crispy","+","U",1
120,"Food was cheap","+","U",1
120,"Peanut sauce are delish","+","U",9
120,"Place is healthy","+","U",1
120,"Place is the best pho house","+","U",7
120,"Shrimps, egg roll is also very good","+","U",10
120,"Soup was hot, the chicken was moist","+","U",8
120,"Sour veggie soup","+","U",1
120,"The service is barely existent","+","U",1
120,"Waiter and waitress kept on messing","+","U",5
120,"Waitstaff to be pleasant and friendly without bothering","+","U",6
121,"Al pastor and the chorizo were far and away my favorites","+","U",1
121,"Flavors and textures were perfect","+","U",8
121,"It's always been good","+","U",1
121,"Place have little experience in true latin food","+","U",6
121,"Quesadillas are delicious","+","U",1
121,"Rice are yummy","+","U",1
121,"Salsas are really flavorful","+","U",1
121,"Tacos here are awesome","+","U",10
121,"The pork was flavorless","+","U",9
121,"The register was very nice","+","U",5
121,"This place is a great hidden","+","U",7
122,"Chicken was not overdone","+","U",1
122,"Decoration inside is a little hip kind","+","U",6
122,"It was chicken, seafood &amp; pork - crazy good .....worth","+","U",8
122,"Organic veggie fed burgers are amazing and so are the shoestring fries with gravy","+","U",10
122,"Outdoor seating area was small","+","U",1
122,"Staff was extremely friendly and welcoming","+","U",7
122,"The food is also excellent","+","U",1
122,"The lobster mac &amp; cheese is excellent","+","U",1
122,"The wait staff is also friendly and helpful","+","U",1
122,"The waitress and bartender were excellent","+","U",5
122,"This place manages to strike a perfect balance between a somewhat trendy restaurant","+","U",1
122,"Toast's cornflake crust had a nice crispiness","+","U",9
123,"Alsatian pizza wowed","+","U",9
123,"Best place i'd take a first date","+","U",1
123,"Caesar salad and his special thai noodle soup in the winter, unforgettable and savory","+","U",8
123,"Delicious vanilla ice cream paired with nearly bitter hot fudge","+","U",10
123,"Friend ordered a yummy chicken caesar salad","+","U",1
123,"Ice cream were spot","+","U",1
123,"Service was still friendly, prompt, and attentive","+","U",7
123,"So...the crust was unbearable","+","U",1
123,"Staff was very polite","+","U",1
123,"The decor is a little dark yet fun","+","U",5
123,"The service can sometimes be a little","+","U",6
123,"Your pizza was really good with the sausage, tomato and homemade ricotta","+","U",1
124,"Chicken basil has lots","+","U",1
124,"Chicken had a lovely roasted flavor","+","U",8
124,"Crispy chicken pad thai is delicious, any noodle dish is good","+","U",1
124,"Ordinary stir fried shrimp","+","U",1
124,"Pad thai lacked taste","+","U",1
124,"Portions were a decent size","+","U",1
124,"Red curry duck has become a personal","+","U",9
124,"Service is always quick","+","U",7
124,"Service was courteous and fairly","+","U",1
124,"Service was efficient","+","U",5
124,"Smoothies are n't so tasty","+","U",10
124,"This place is disguised as a small grocery","+","U",6
125,"Calamari was cooked perfectly","+","U",1
125,"Chicken was cooked to perfection, breaded perfectly and the cheese was delicious","+","U",10
125,"Clamari and bruschetta were delicious","+","U",1
125,"Food has always been consistently good","+","U",1
125,"Food was quite good","+","U",1
125,"Salad was decent but nothing special","+","U",1
125,"Servers are usually very helpful","+","U",5
125,"Shrimp scampi on angel hair pasta was very good","+","U",8
125,"Stuffed mushrooms are great","+","U",9
125,"The service remained a bit shaky the rest","+","U",7
125,"The service was good, we had a waiter and waiter-in-training who had an awkward dynamic","+","U",1
125,"This is a great place","+","U",6
126,"Bread selection was good","+","U",1
126,"Eggs benedict was fantastic","+","U",8
126,"It's really the atmosphere that draws","+","U",1
126,"Meal was decent","+","U",9
126,"Pleasant experiences here but overall this is definitely the place to go for a special","+","U",7
126,"Potato chips were a great touch too and tasty","+","U",1
126,"Salad was pretty lame","+","U",10
126,"Server was very friendly","+","U",5
126,"The staff was super attentive","+","U",1
126,"Toppings were good","+","U",1
126,"Whipped cream it was served with was delicious","+","U",1
126,"Wine room downstairs is more intimate","+","U",6
127,"B-side are pretty amazing","+","U",10
127,"Boy got the best wurst plate, which was very tasty","+","U",1
127,"Burger is super good","+","U",8
127,"Dinner is just as good, portion size is perfect and the drinks are delicious","+","U",1
127,"Drinks are pretty good","+","U",1
127,"Service was stellar","+","U",1
127,"Strong cocktails every where you turn, cool people, funky music","+","U",5
127,"The bartender was knowledgeable, friendly and non-pestering","+","U",6
127,"The wait-staff are incredibly nice and knowledgeable while the music is good and the outside deck is spacious","+","U",1
127,"This seems like a cool place","+","U",7
127,"Yummy breaded goodness that was the pretzel","+","U",9
128,"Chips are fantastic","+","U",10
128,"Chorizo taco was just okay","+","U",9
128,"Corn was drooooooool","+","U",1
128,"Fish tacos were definitely","+","U",1
128,"It's teeny, cozy, very casual atmosphere","+","U",5
128,"Rice was pretty good","+","U",1
128,"Service was very","+","U",1
128,"Staff was friendly","+","U",6
128,"The beans were nothing to write","+","U",1
128,"This place was decently good","+","U",7
128,"Watermelon still was very good","+","U",8
129,"Bartender was mad","+","U",5
129,"Building is different and provides a different atmosphere","+","U",1
129,"Chicken fingers tasted very good","+","U",10
129,"Drinks are really good","+","U",8
129,"Fries were good","+","U",9
129,"Huge space in a cool building and they played decent music","+","U",1
129,"The bowling alley are a nice","+","U",7
129,"Their decor is swanky, especially the drink tables at the lanes","+","U",1
129,"This place is gorgeous","+","U",1
129,"This place's atmosphere is stellar","+","U",6
129,"Us absolut, and we were charged for","+","U",1
13,"Bread was really fresh","+","U",9
13,"Chocolate things were bad","+","U",1
13,"Colors starts to create a nice ambiance","+","U",6
13,"Duck was tasty","+","U",1
13,"Gelato was good that went with the cake","+","U",1
13,"Our server was very nice","+","U",5
13,"The drinks are sugary and delicious","+","U",10
13,"The strawberry shortcake and chocolate mousse cake were good","+","U",8
13,"This place is a great treat","+","U",7
13,"This place is a made-to-order","+","U",1
130,"","+","U",10
131,"Bread &amp; spreads that come as appetizers are fantastic","+","U",1
131,"Chicken was also very dry","+","U",8
131,"Desserts were overall pretty good","+","U",10
131,"It's very cramped","+","U",5
131,"Lamb empanada was pretty good","+","U",1
131,"Not stuffy or high brow, just nice, dimly lit, quiet and pleasant","+","U",1
131,"Paella which was delicious according to my friend who ordered it","+","U",9
131,"Single dish mesmerizes me with its rich &amp; delicious flavor","+","U",1
131,"So attentive she seemed accusing","+","U",6
131,"The service was quick, attentive, and never annoying","+","U",1
131,"The table behind us seemed great and super friendly","+","U",7
132,"","+","U",10
133,"","+","U",10
134,"Decor is very handsome and classy without feeling old","+","U",6
134,"Drinks were quite potent","+","U",1
134,"Food was very good but not incredible","+","U",1
134,"Four of us shared the mac and cheese for an appetizer as well which was both filling and fulfilling","+","U",9
134,"I ordered the pork sirloin with whipped sweet potatoes and brussel sprouts","+","U",8
134,"I'd really love to give this place more stars","+","U",7
134,"Lamb was delicious and perfectly cooked","+","U",10
134,"Our waitress was incredibly helpful","+","U",5
134,"Pork tenderloin au poivre ordered by my girlfriend was special","+","U",1
134,"The decor gives the restaurant a very sophisticated and upbeat atmosphere","+","U",1
134,"The service was spotty as we waited for drinks","+","U",1
135,"Blocking stage space","+","U",1
135,"Place is clean","+","U",9
135,"Staff is n't the most cheerful or perky","+","U",1
135,"The place is small and intimate","+","U",1
135,"The room is silent, you can hear the artist breathing","+","U",1
135,"The venue's fault is that there was this drunk loud obnoxious girl who","+","U",8
135,"This place is great","+","U",10
136,"Burgers is so flavorful","+","U",1
136,"Food was awesome","+","U",1
136,"Griddled garlic shrimp is also tasty and satisfying","+","U",10
136,"Grilled corn on the cob is addictive","+","U",1
136,"Hostesses was very friendly","+","U",1
136,"I highly recommend the eggplant, green peppers, potatas bravas, spanish omlette and vegetarian paealla","+","U",1
136,"Kobe mini burgers were cooked medium rare with a wonderful sweet sauce","+","U",8
136,"Much-lauded corn was good","+","U",9
136,"Service was friendly and attentive, restaurant was busy","+","U",6
136,"The atmosphere is fun and lively and can be very loud at times","+","U",7
136,"The eggplant was super tasty","+","U",1
136,"The service was very pleasant and attentive","+","U",5
137,"Beef tongue canape and pork balls were good","+","U",1
137,"Companions had the smoked pork - mmmm - amazing","+","U",9
137,"Decor was tight","+","U",1
137,"Food was fantastic","+","U",1
137,"Gnocchi and the pork and both were satisfied","+","U",8
137,"Place is hands","+","U",7
137,"Roasted chicken with winter veggies and grits was only","+","U",1
137,"Service was superb","+","U",1
137,"The food is southern, and delicious","+","U",10
137,"The service was friendly and knowledgeable, and the manager even came over","+","U",5
137,"You can snag a seat, it's a great place","+","U",6
138,"Braised oxtail is fabulous ...soft as butter","+","U",8
138,"Custard was still delicious","+","U",9
138,"It's a special blend that tastes phenomenal","+","U",1
138,"Lamb shank braised in oranges","+","U",1
138,"Lobster appetizer with grits was much better","+","U",10
138,"Pumpkin brulee was nice but again lacked flavor","+","U",1
138,"Service at the blue room was outstanding","+","U",1
138,"Service was spotty and slow","+","U",6
138,"The staff was helpful and prompt","+","U",5
138,"They are the 5 most perfect clams you'll ever have","+","U",1
138,"Vibe is very low-key","+","U",7
139,"And shop's frozen crab cakes could most def","+","U",10
139,"Bread was great","+","U",8
139,"I ordered a new york strip and a ribeye","+","U",1
139,"It's sophisticated, dressy","+","U",1
139,"Long white uniforms were not too friendly but very helpful","+","U",7
139,"Maine lobster was great","+","U",1
139,"Steak was cooked perfectly","+","U",1
139,"Steaks were very tender and cooked perfectly medium rare","+","U",9
139,"Stuffy atmosphere could lead to uncomfortable quiet dining","+","U",5
139,"The service was incredible they were so attentive but without being annoying","+","U",6
139,"The service was so pushy we had our appetizers ordered, delivered and eaten 15 minutes after","+","U",1
139,"Tots cooked in truffle oil, batman ! ! grill23 is awesome!","+","U",1
14,"Beef balls was comforting","+","U",8
14,"It was delicious","+","U",1
14,"Lady got the lemongrass tofu and it was tasty","+","U",1
14,"Noodles were larger than vermicelli i've eaten, and were pretty slippery","+","U",1
14,"Soup was amazingly flavorful, the beansprouts were fresh and they gave plenty of noodles","+","U",1
14,"Soup was good","+","U",10
14,"Spicy stir fries, fresh spring rolls, and fried dumplings","+","U",9
14,"Staff was amazingly friendly","+","U",1
14,"The service was very quick and friendly","+","U",7
14,"The staff was friendly and welcoming","+","U",6
14,"This place is horrible","+","U",5
14,"This place is the bomb...i recommend this place simply because it is simple and good","+","U",1
140,"Atmosphere is classy, cute","+","U",5
140,"Black cookie part tasted burnt","+","U",8
140,"Bread pudding was the winner - dense","+","U",1
140,"Bun was moist, sticky and the gooey caramel was delicious","+","U",1
140,"Pastries are pretty good","+","U",1
140,"Sandwich is solid","+","U",10
140,"Sandwiches are $ 7.50 which is a little","+","U",1
140,"The ice cream had zero flavor, it was weird","+","U",1
140,"The soups are great and super comforting","+","U",9
140,"They are always helpful and friendly","+","U",6
140,"This place is amazing","+","U",1
140,"This place is very pricey","+","U",7
141,"All were fantastic","+","U",1
141,"Flavor was salt","+","U",8
141,"Food was very very tasty","+","U",9
141,"Lighting is excellent","+","U",5
141,"Salads are great","+","U",1
141,"Salmon ceviche was good","+","U",10
141,"Service was a little slow","+","U",1
141,"The calamari are overcrispy and waaay oversalted","+","U",1
141,"The decor was dark and stylish","+","U",6
141,"The food and drinks are good","+","U",1
141,"The muted decor really adds a lot to the feel of a quiet place, even when it's loud","+","U",1
141,"The staff is personable and friendly, and very knowledgeable","+","U",7
142,"Beans and guacamole are good","+","U",8
142,"Chicken quesadillas which were average","+","U",1
142,"Comfy booth and watch the game, it's all good","+","U",5
142,"Margaritas were pretty watered","+","U",10
142,"Plate was empty","+","U",9
142,"Server was very attentive and nice","+","U",7
142,"Spinach artichoke dip","+","U",1
142,"Staff are a little less than attentive","+","U",6
143,"Events are really creative and fun","+","U",10
143,"Staff could be a little more friendly","+","U",8
143,"This is an all time great theater","+","U",9
143,"We were told we had to wait outside","+","U",1
144,"Bar stool seating","+","U",5
144,"Burritos are somewhat small","+","U",8
144,"Chicken was good","+","U",1
144,"It was pretty boring and lacked any original flavor","+","U",1
144,"It's a great concept","+","U",6
144,"Salsa was bland","+","U",9
144,"Service seemed a little slow","+","U",7
144,"Steak was ok","+","U",1
144,"The pico was alive with fresh tomato flavor","+","U",10
144,"The pork was moist","+","U",1
144,"They were tasty","+","U",1
145,"Boston cream is tasty","+","U",9
145,"Cupcakes are light, moist","+","U",1
145,"Dark chocolate cupcake was forgettable","+","U",1
145,"Frosting on both cupcakes was far superior to the cake part","+","U",8
145,"Frosting was excellent","+","U",1
145,"Place was quaint, nicely decorated","+","U",6
145,"Red velvet cupcake was spectacular","+","U",1
145,"Staff was nice and friendly","+","U",5
145,"Table were so helpful &amp; friendly","+","U",1
145,"The cappuccino and the lemon the best, but they're all delicious","+","U",10
145,"The vegan carrot cupcake","+","U",1
145,"This place is so pink","+","U",7
146,"All did was stare at him like he","+","U",1
146,"Food is healthy","+","U",1
146,"Kimchi broth it is healthy and delicious","+","U",1
146,"Quality of the meat and seafood were solid","+","U",10
146,"Service was quick and friendly - the price could've been","+","U",7
146,"The seafood supreme was awesome - everything was so fresh","+","U",9
146,"The waitress was at our table immediately with green tea and once we had ordered our veggies were upon","+","U",6
146,"This place is incredible","+","U",1
146,"Warm social atmosphere","+","U",5
146,"We ordered the crispy &amp; spicy octopus tentacles - delicious","+","U",8
147,"Atmosphere was nice","+","U",6
147,"Naked ravioli "" which were little pasta balls","+","U",1
147,"Overall consensus was that the food was good not great","+","U",1
147,"Portions was huge","+","U",9
147,"Pudding was quite rich and chocolatey","+","U",8
147,"Recommend this place","+","U",7
147,"Service was attentive and pleasant","+","U",5
147,"The gnocchi had flavors that my mouth had never experienced","+","U",1
147,"The pasta appetizer was so","+","U",1
147,"The tenderloin and mushrooms were tender and juicy","+","U",10
147,"Wait staff is all very kind and helpful","+","U",1
147,"Walls are dark","+","U",1
148,""" chicken "" fingers are golden brown and delicious","+","U",10
148,"Atmosphere is a little hokey","+","U",6
148,"Bean shakes, they're so good","+","U",1
148,"Broccoli is very tasty","+","U",1
148,"Gluten had the perfect texture","+","U",9
148,"Portion size was overwhelming","+","U",1
148,"Serving staff is super-sweet too","+","U",5
148,"Tastes like general tso's chicken and is delicious","+","U",1
148,"The service is reliably pushy","+","U",1
148,"This place is truly","+","U",7
148,"Veggies were fresh and crisp","+","U",1
148,"Vegi pizza tasted interesting, it was like a quesadilla with vegetables in-between","+","U",8
149,"Olive oil ice cream and/or the white chocolate bread pudding ...both were decadent and delicious","+","U",1
149,"The space is so haunting at night","+","U",10
149,"This is the perfect date place","+","U",9
15,"Bartenders are usually friendly","+","U",7
15,"Cobb salad was pretty good","+","U",10
15,"Dining room is quite dark","+","U",5
15,"Food was okay, nothing special","+","U",1
15,"French toast was flat-out diminutive","+","U",1
15,"Gravy was a bit watery","+","U",8
15,"Great sauce and overall quite tasty","+","U",9
15,"Mostly only give this place positive stars","+","U",1
15,"Service was the only blemish","+","U",1
15,"The service is generally decent but can be somewhat on","+","U",6
15,"Very cool upstairs dining/bar space","+","U",1
